review_id,employee_id,reviewer_id,review_period,rating,status,completed_date
REV001,EMP001,EMP011,2026-06,5.0,Completed,2026-06-15
REV001,EMP001,EMP011,2026-06,5.0,Completed,2026-06-15
REV002,EMP002,EMP012,2026-06,4.0,Completed,2026-06-18
REV003,EMP004,EMP013,2026-06,,Completed,2026-06-12
REV004,EMP005,EMP014,2026-06,3.0,Completed,2026-06-14
REV005,EMP007,EMP011,2026-06,6.0,Completed,2026-06-10
REV006,EMP008,,2026-06,2.0,Completed,2026-06-11
REV007,EMP009,EMP003,2026-06,3.5,Completed,2026-06-16
REV008,EMP010,EMP012,2026-06,4.2,Completed,2026-06-17
REV009,EMP011,EMP015,2026-06,4.8,Completed,2026-06-20
REV010,EMP012,EMP015,2026-06,3.8,Completed,2026-06-22
REV011,EMP013,EMP015,2026-06,3.2,Completed,2026-06-21
REV012,EMP014,EMP015,2026-06,3.0,Completed,2026-06-23
REV013,EMP015,EMP015,2026-06,4.5,Completed,2026-06-25
REV014,EMP016,EMP011,2026-06,2.2,Completed,2026-06-13
REV015,EMP017,EMP012,2026-06,3.9,Completed,2026-06-19
REV016,EMP018,EMP013,2026-06,3.1,Completed,2026-06-20
REV017,EMP019,EMP014,2026-06,2.8,Completed,2026-06-24
REV018,EMP020,EMP014,2026-06,1.2,Completed,2026-06-26
REV099,EMP999,EMP011,2026-06,3.0,Completed,2026-06-15
